date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:48:01	45868/45868	---M-Z	200	added ('OK')	text/html	etag:%22b32c-63f8b396-5b41e59ea90e4752;gz%22	https://daynightonline.in/Ui/adminUi/home.html	C:/My%20Web%20Sites/JACKPOT/daynightonline.in/Ui/adminUi/home.html	(from )
13:48:01	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-632d8812-70ef591507445cb1;gz%22	https://daynightonline.in/robots.txt		(from )
13:48:03	95931/95931	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.11.2/jquery.min.js	C:/My%20Web%20Sites/JACKPOT/ajax.googleapis.com/ajax/libs/jquery/1.11.2/jquery.min.js	(from https://daynightonline.in/Ui/adminUi/home.html)
13:48:03	88620/88620	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03e9d-15a2c%22	https://cdnjs.cloudflare.com/ajax/libs/html2canvas/0.4.1/html2canvas.js	C:/My%20Web%20Sites/JACKPOT/cdnjs.cloudflare.com/ajax/libs/html2canvas/0.4.1/html2canvas.js	(from https://daynightonline.in/Ui/adminUi/home.html)
13:48:04	54162/54162	---M-Z	200	added ('OK')	application/x-javascript	etag:%22d392-63f8b396-e064557814b307f9;gz%22	https://daynightonline.in/Ui/adminUi/js/home.js?v=77	C:/My%20Web%20Sites/JACKPOT/daynightonline.in/Ui/adminUi/js/home512a.js	(from https://daynightonline.in/Ui/adminUi/home.html)
13:48:04	11170/11170	---M-Z	200	added ('OK')	application/x-javascript	etag:%222ba2-63f8b396-f745b978cc878d79;gz%22	https://daynightonline.in/Ui/adminUi/js/ticketTypeDetector.js?v=16	C:/My%20Web%20Sites/JACKPOT/daynightonline.in/Ui/adminUi/js/ticketTypeDetectorfb74.js	(from https://daynightonline.in/Ui/adminUi/home.html)
13:48:04	367/367	---M-Z	200	added ('OK')	application/x-javascript	etag:%2216f-63f8b396-d170d1de424a6a74;gz%22	https://daynightonline.in/Ui/adminUi/js/filterChar.js	C:/My%20Web%20Sites/JACKPOT/daynightonline.in/Ui/adminUi/js/filterChar.js	(from https://daynightonline.in/Ui/adminUi/home.html)
13:48:05	86/86	---M-Z	302	error ('Found')	text/html	date:Sun,%2005%20Mar%202023%2008:18:04%20GMT	https://daynightonline.in/Ui/adminUi/php/printPoster.php	C:/My%20Web%20Sites/JACKPOT/daynightonline.in/Ui/adminUi/php/printPoster.php	(from https://daynightonline.in/Ui/adminUi/home.html)
13:48:06	12/12	---M-Z	200	added ('OK')	text/html	date:Sun,%2005%20Mar%202023%2008:18:05%20GMT	https://daynightonline.in/Ui/adminUi/php/searchTicket.php	C:/My%20Web%20Sites/JACKPOT/daynightonline.in/Ui/adminUi/php/searchTicket.html	(from https://daynightonline.in/Ui/adminUi/js/home.js?v=77)
13:48:06	12/12	---M-Z	200	added ('OK')	text/html	date:Sun,%2005%20Mar%202023%2008:18:06%20GMT	https://daynightonline.in/Ui/adminUi/php/searchAgent.php	C:/My%20Web%20Sites/JACKPOT/daynightonline.in/Ui/adminUi/php/searchAgent.html	(from https://daynightonline.in/Ui/adminUi/js/home.js?v=77)
13:48:07	0/0	---M--	200	added ('OK')	text/html	date:Sun,%2005%20Mar%202023%2008:18:06%20GMT	https://daynightonline.in/Ui/adminUi/php/getAnouncement.php	C:/My%20Web%20Sites/JACKPOT/daynightonline.in/Ui/adminUi/php/getAnouncement.php	(from https://daynightonline.in/Ui/adminUi/js/home.js?v=77)
13:48:07	184/184	---M-Z	200	added ('OK')	text/html	date:Sun,%2005%20Mar%202023%2008:18:06%20GMT	https://daynightonline.in/Ui/adminUi/php/saveAnnouncement.php	C:/My%20Web%20Sites/JACKPOT/daynightonline.in/Ui/adminUi/php/saveAnnouncement.html	(from https://daynightonline.in/Ui/adminUi/js/home.js?v=77)
13:48:07	174/174	---M-Z	200	added ('OK')	text/html	date:Sun,%2005%20Mar%202023%2008:18:07%20GMT	https://daynightonline.in/Ui/adminUi/php/login.php	C:/My%20Web%20Sites/JACKPOT/daynightonline.in/Ui/adminUi/php/login.html	(from https://daynightonline.in/Ui/adminUi/js/home.js?v=77)
13:48:08	12/12	---M-Z	200	added ('OK')	text/html	date:Sun,%2005%20Mar%202023%2008:18:07%20GMT	https://daynightonline.in/Ui/adminUi/php/saveJsonFile.php	C:/My%20Web%20Sites/JACKPOT/daynightonline.in/Ui/adminUi/php/saveJsonFile.html	(from https://daynightonline.in/Ui/adminUi/js/home.js?v=77)
13:48:09	12/12	---M-Z	200	added ('OK')	text/html	date:Sun,%2005%20Mar%202023%2008:18:08%20GMT	https://daynightonline.in/Ui/adminUi/php/getJsonFile.php	C:/My%20Web%20Sites/JACKPOT/daynightonline.in/Ui/adminUi/php/getJsonFile.html	(from https://daynightonline.in/Ui/adminUi/js/home.js?v=77)
13:48:09	361/361	---M-Z	200	added ('OK')	text/html	date:Sun,%2005%20Mar%202023%2008:18:08%20GMT	https://daynightonline.in/Ui/adminUi/php/getBusinessInfo.php	C:/My%20Web%20Sites/JACKPOT/daynightonline.in/Ui/adminUi/php/getBusinessInfo.html	(from https://daynightonline.in/Ui/adminUi/js/home.js?v=77)
13:48:09	551/551	---M-Z	200	added ('OK')	text/html	date:Sun,%2005%20Mar%202023%2008:18:09%20GMT	https://daynightonline.in/Ui/adminUi/php/getDividentList.php	C:/My%20Web%20Sites/JACKPOT/daynightonline.in/Ui/adminUi/php/getDividentList.html	(from https://daynightonline.in/Ui/adminUi/js/home.js?v=77)
13:48:10	12/12	---M-Z	200	added ('OK')	text/html	date:Sun,%2005%20Mar%202023%2008:18:09%20GMT	https://daynightonline.in/Ui/adminUi/php/getSoldTicket.php	C:/My%20Web%20Sites/JACKPOT/daynightonline.in/Ui/adminUi/php/getSoldTicket.html	(from https://daynightonline.in/Ui/adminUi/js/home.js?v=77)
13:48:11	12/12	---M-Z	200	added ('OK')	text/html	date:Sun,%2005%20Mar%202023%2008:18:10%20GMT	https://daynightonline.in/Ui/adminUi/php/getAgentList.php	C:/My%20Web%20Sites/JACKPOT/daynightonline.in/Ui/adminUi/php/getAgentList.html	(from https://daynightonline.in/Ui/adminUi/js/home.js?v=77)
13:48:11	500327/500327	---M--	200	added ('OK')	image/png	etag:%227a267-63f8b396-d74dba8f91f56627;;;%22	https://daynightonline.in/Ui/imgAsset/wallpaper.png	C:/My%20Web%20Sites/JACKPOT/daynightonline.in/Ui/imgAsset/wallpaper.png	(from https://daynightonline.in/Ui/adminUi/home.html)
13:48:11	12/12	---M-Z	200	added ('OK')	text/html	date:Sun,%2005%20Mar%202023%2008:18:11%20GMT	https://daynightonline.in/Ui/adminUi/php/getAllTicket.php	C:/My%20Web%20Sites/JACKPOT/daynightonline.in/Ui/adminUi/php/getAllTicket.html	(from https://daynightonline.in/Ui/adminUi/js/home.js?v=77)
13:48:13	92/92	---M-Z	200	added ('OK')	text/html	date:Sun,%2005%20Mar%202023%2008:18:12%20GMT	https://daynightonline.in/Ui/adminUi/php/getRenewJson.php	C:/My%20Web%20Sites/JACKPOT/daynightonline.in/Ui/adminUi/php/getRenewJson.html	(from https://daynightonline.in/Ui/adminUi/js/home.js?v=77)
